,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,result,black_king_dst,black2white_king_dst,black2rook_dst
25741,1,1,4,6,8,5,15,0,7,4
14375,3,2,4,4,5,8,12,0,6,4
2493,4,3,6,1,6,2,-1,1,2,1
13111,4,4,7,8,7,4,11,1,3,4
13971,3,1,4,8,2,3,12,1,2,5
24862,4,1,6,5,5,7,14,1,6,2
17342,2,1,5,8,8,6,13,0,6,3
11200,3,2,5,2,1,6,11,0,4,4
7683,4,3,3,7,8,3,9,0,4,5
7971,4,4,2,1,8,6,9,0,4,6
5597,3,3,3,4,8,1,8,0,5,5
2684,4,4,6,2,5,1,-1,0,3,1
15672,4,2,4,3,7,6,12,1,4,3
12067,4,2,4,6,1,4,11,0,3,3
25272,4,2,1,6,5,5,14,3,3,4
4180,4,2,3,8,6,1,6,0,2,7
25303,4,2,2,6,5,4,14,3,2,3
579,2,2,4,2,4,3,-1,2,2,1
23338,3,1,7,1,3,8,14,0,7,7
21788,2,1,5,5,3,6,14,2,5,2
18449,3,2,1,4,2,6,13,1,4,2
16720,4,4,4,3,7,4,12,1,3,3
17548,2,1,8,8,8,4,13,0,6,4
15321,4,1,5,2,2,8,12,0,7,6
3030,3,3,4,7,2,1,2,0,2,6
19687,4,1,5,1,6,3,13,2,2,2
25010,4,1,7,7,2,3,14,1,2,5
16777,1,1,2,2,7,2,13,1,6,5
21869,2,1,6,1,6,7,14,1,6,6
20689,4,2,7,8,3,4,13,2,2,4
27296,3,1,8,7,7,5,15,1,4,2
2521,4,3,6,6,5,6,-1,2,3,1
24095,3,3,6,3,6,5,14,2,3,2
25779,1,1,5,2,7,3,15,1,6,2
12662,4,3,5,3,7,4,11,1,3,2
11624,3,3,8,5,5,3,11,2,2,3
18815,3,2,4,8,7,4,13,1,4,4
8743,3,1,3,5,8,4,10,0,5,5
18613,3,2,2,4,7,6,13,1,4,5
27491,4,1,4,7,4,5,15,3,4,2
14086,3,1,6,7,8,7,12,0,6,2
26945,3,1,3,6,4,3,15,2,2,3
22603,3,1,1,1,1,4,14,0,3,3
3489,4,1,4,4,1,1,5,0,3,3
6845,2,2,7,2,8,7,9,0,6,5
18614,3,2,2,5,2,7,13,1,5,2
8852,3,2,1,7,6,2,10,1,3,5
12218,4,2,6,6,1,7,11,0,5,5
2691,4,4,6,3,5,2,-1,1,2,1
19734,4,1,5,4,1,4,13,0,3,4
12427,4,3,2,3,8,8,11,0,5,6
4164,4,2,3,3,7,2,6,1,3,4
20221,4,2,2,7,7,7,13,1,5,5
23146,3,1,5,1,5,4,14,3,3,3
6704,2,1,4,6,8,1,9,0,6,5
15739,4,2,5,2,4,7,12,1,5,5
10373,1,1,5,3,4,1,11,0,3,2
7269,3,3,3,4,5,3,9,2,2,2
11766,4,1,5,2,8,2,11,0,4,3
14073,3,1,6,6,1,2,12,0,2,5
20175,4,2,2,4,4,4,13,3,2,2
2657,4,4,4,1,3,1,-1,0,3,1
20912,4,3,6,6,4,6,13,2,3,2
6356,4,4,4,3,7,2,8,1,3,3
7986,4,4,2,3,8,4,9,0,4,6
2731,4,4,7,3,8,3,-1,0,4,1
19083,3,2,8,1,4,8,13,0,6,7
13171,1,1,1,6,8,2,12,0,7,7
9464,4,2,3,3,1,4,10,0,3,2
17853,3,1,1,3,7,8,13,0,7,6
26262,2,1,4,1,6,6,15,2,5,5
21128,1,1,5,2,8,6,14,0,7,4
21616,2,1,3,4,7,6,14,1,5,4
6925,3,1,2,8,5,1,9,0,2,7
604,2,2,5,2,6,2,-1,1,4,1
8911,3,2,4,1,1,6,10,0,4,5
11248,3,2,6,1,1,6,11,0,4,5
10852,3,1,3,6,2,4,11,1,3,2
11512,3,3,5,4,7,4,11,1,4,2
6135,4,3,4,8,6,2,8,1,2,6
937,3,1,5,4,6,3,-1,2,3,1
16155,4,3,2,3,6,6,12,2,3,4
27560,4,1,6,7,2,5,15,1,4,4
26905,3,1,2,7,5,7,15,1,6,3
26312,2,1,4,7,6,2,15,1,4,5
7149,3,2,6,4,1,8,9,0,6,5
9609,4,2,6,3,8,4,10,0,4,2
8031,4,4,3,1,8,3,9,0,4,5
18876,3,2,5,8,5,6,13,2,4,2
27004,3,1,4,1,4,6,15,2,5,5
12573,4,3,4,4,7,7,11,1,4,3
23783,3,2,3,3,4,5,14,3,3,2
10288,4,4,8,7,6,2,10,1,2,5
15922,4,2,8,3,2,5,12,1,3,6
27359,4,1,2,6,5,3,15,2,2,3
3697,4,3,1,6,1,1,5,0,3,5
6355,4,4,4,3,7,1,8,0,3,3
15508,4,2,1,1,6,8,12,0,6,7
17790,2,2,7,1,5,2,13,1,3,2
23183,3,1,5,5,3,5,14,2,4,2
21803,2,1,5,5,7,7,14,1,6,2
15116,4,1,1,1,1,3,12,0,3,2
13585,2,2,1,7,4,2,12,1,2,5
12303,4,2,8,7,1,4,11,0,3,7
7550,4,3,1,1,8,3,9,0,4,7
21645,2,1,3,6,6,2,14,1,4,4
16765,1,1,1,6,6,2,13,1,5,5
4021,4,1,2,8,8,1,6,0,4,7
7392,4,1,3,4,2,7,9,1,6,3
24494,4,1,3,1,7,7,14,1,6,6
12,1,1,3,3,4,4,-1,3,3,1
25684,1,1,3,6,8,4,15,0,7,5
10007,4,3,7,7,1,4,10,0,3,6
26240,2,1,3,8,5,4,15,3,3,4
6501,4,4,6,8,6,2,8,1,2,6
8267,4,4,7,1,4,1,9,0,3,3
17314,2,1,5,7,6,2,13,1,4,5
22994,3,1,3,3,6,3,14,2,3,3
20839,4,2,8,7,6,5,13,2,3,2
17547,2,1,8,8,8,3,13,0,6,5
2605,4,3,8,2,8,1,-1,0,4,1
22443,2,2,5,6,4,3,14,2,2,3
22764,3,1,1,7,2,4,14,1,3,3
9899,4,3,5,7,8,6,10,0,4,3
15039,3,3,6,6,5,2,12,1,2,4
16346,4,3,4,7,6,5,12,2,2,2
7778,4,3,5,5,8,6,9,0,4,3
14616,3,2,6,5,6,2,12,1,3,3
23587,3,1,8,4,5,8,14,0,7,4
23757,3,2,2,8,2,6,14,1,4,2
23747,3,2,2,7,4,6,14,2,4,2
23713,3,2,2,2,5,4,14,3,2,3
11882,4,1,7,5,7,1,11,0,3,4
17739,2,2,5,3,8,4,13,0,6,3
13705,2,2,6,3,8,6,12,0,6,3
22534,2,2,7,7,6,2,14,1,4,5
21013,1,1,2,6,8,3,14,0,7,6
15542,4,2,1,5,6,8,12,0,6,5
8365,1,1,7,1,8,6,10,0,7,5
20014,4,2,1,3,7,6,13,1,4,6
13607,2,2,2,7,5,2,12,1,3,5
5919,4,2,7,7,8,5,8,0,4,2
25186,4,1,8,6,6,6,14,2,5,2
1547,3,3,7,2,8,1,-1,0,5,1
3890,4,4,7,5,8,1,5,0,4,4
6406,4,4,5,6,4,2,8,1,2,4
14110,3,1,7,7,1,3,12,0,2,6
26109,2,1,2,7,5,5,15,3,4,3
14069,3,1,6,5,8,4,12,0,5,2
20180,4,2,2,4,5,4,13,3,2,3
12767,4,3,7,5,2,6,11,1,3,5
18171,3,1,5,6,6,2,13,1,3,4
22734,3,1,1,5,3,5,14,2,4,2
27658,4,1,7,8,4,7,15,1,6,3
24372,4,1,2,2,7,3,14,1,3,5
8212,4,4,5,8,8,7,9,0,4,3
11179,3,2,4,7,2,7,11,1,5,2
3324,4,2,6,6,1,1,4,0,3,5
15592,4,2,2,5,7,5,12,1,3,5
1118,3,1,8,7,7,8,-1,0,7,1
24299,4,1,1,8,2,4,14,1,3,4
749,2,2,8,7,8,6,-1,0,6,1
10888,3,1,4,3,2,7,11,1,6,4
6142,4,3,5,4,6,2,8,1,2,2
25527,1,1,1,4,7,4,15,1,6,6
697,2,2,7,4,8,5,-1,0,6,1
3051,3,3,6,1,2,1,2,0,2,4
12901,4,4,1,2,6,5,11,2,2,5
18345,3,1,8,5,5,5,13,3,4,3
26100,2,1,2,7,3,4,15,2,3,3
23577,3,1,8,4,3,7,14,1,6,5
24059,3,2,8,3,5,5,14,3,3,3
22200,2,2,1,2,6,4,14,2,4,5
8708,3,1,1,7,4,8,10,0,7,3
6563,4,4,8,1,3,1,8,0,3,5
4039,4,1,3,6,7,1,6,0,3,5
28036,2,1,6,7,4,5,16,3,4,2
7536,4,2,8,4,1,7,9,0,5,7
6813,2,2,4,1,7,1,9,0,5,3
8290,4,4,8,4,5,1,9,0,3,3
23417,3,1,7,5,4,5,14,3,4,3
15059,3,3,7,5,7,7,12,1,4,2
25890,1,1,7,1,6,6,15,2,5,5
11186,3,2,4,8,2,7,11,1,5,2
10404,1,1,7,5,8,1,11,0,7,4
2718,4,4,7,2,6,2,-1,1,2,1
2136,4,2,4,8,3,8,-1,0,6,1
27934,1,1,8,7,8,5,16,0,7,2
8745,3,1,3,6,1,8,10,0,7,2
21244,1,1,8,3,8,8,14,0,7,5
3925,3,1,3,2,8,1,6,0,5,5
22120,2,1,8,4,8,7,14,0,6,3
18642,3,2,2,8,3,5,13,2,3,3
24821,4,1,6,3,4,8,14,0,7,5
982,3,1,6,2,7,3,-1,1,4,1
19795,4,1,5,8,6,4,13,2,3,4
18338,3,1,8,5,4,4,13,3,3,4
13478,2,1,6,7,7,3,12,1,5,4
27805,1,1,6,6,4,2,16,1,3,4
12387,4,3,1,7,8,4,11,0,4,7
9774,4,3,4,2,1,5,10,0,3,3
14691,3,2,7,8,2,5,12,1,3,5
11692,4,1,3,4,1,6,11,0,5,2
10759,2,2,6,1,7,6,11,1,5,5
27430,4,1,3,6,5,3,15,2,2,3
13794,2,2,8,6,7,1,12,0,5,5
13496,2,1,7,2,1,4,12,0,3,6
19164,3,2,8,5,5,5,13,3,3,3
1222,3,2,4,4,3,4,-1,2,2,1
20692,4,2,7,8,3,7,13,1,5,4
26726,2,2,3,7,4,3,15,2,2,4
19653,4,1,4,6,7,7,13,1,6,3
15700,4,2,4,6,8,4,12,0,4,4
21858,2,1,5,8,5,3,14,2,3,5
17532,2,1,8,7,5,2,13,1,3,5
16562,4,3,7,7,4,7,12,1,4,3
20114,4,2,2,1,7,5,13,1,3,5
26375,2,1,6,1,3,4,15,2,3,3
12363,4,3,1,5,3,5,11,2,2,2
21989,2,1,7,4,5,7,14,1,6,3
6308,4,4,2,8,2,1,8,0,3,7
5026,4,3,8,2,2,3,7,1,2,6
15837,4,2,6,5,1,7,12,0,5,5
19488,4,1,1,5,5,5,13,3,4,4
12265,4,2,8,1,8,8,11,0,6,7
19901,4,1,8,3,3,8,13,0,7,5
6582,4,4,8,5,4,1,8,0,3,4
9747,4,3,2,5,7,8,10,0,5,5
24090,3,2,8,8,6,3,14,2,3,5
5283,3,1,1,7,8,1,8,0,5,7
21503,2,1,2,4,6,5,14,2,4,4
9589,4,2,6,2,7,4,10,1,3,2
9818,4,3,5,1,6,8,10,0,5,7
17170,2,1,4,6,4,1,13,0,2,5
3388,4,3,4,2,3,1,4,0,2,1
26266,2,1,4,2,5,4,15,3,3,2
10932,3,1,5,5,5,1,11,0,2,4
2292,4,2,8,3,7,3,-1,1,3,1
15872,4,2,7,5,2,6,12,1,4,5
17977,3,1,3,5,8,5,13,0,5,5
7689,4,3,3,8,2,4,9,1,2,4
20217,4,2,2,7,6,7,13,1,5,4
25522,1,1,1,3,8,5,15,0,7,7
19301,3,3,3,7,6,5,13,2,3,3
10586,2,1,5,8,1,5,11,0,4,4
7823,4,3,6,5,6,3,9,2,2,2
783,3,1,1,8,2,8,-1,0,7,1
1463,3,3,2,2,1,1,-1,0,2,1
2925,3,1,6,5,1,1,2,0,2,5
4535,2,2,8,2,6,1,7,0,4,2
21995,2,1,7,5,1,4,14,0,3,6
390,2,1,5,4,6,3,-1,2,4,1
529,2,1,7,7,7,8,-1,0,7,1
24723,4,1,5,4,3,6,14,2,5,2
12210,4,2,6,3,1,7,11,0,5,5
3913,2,2,3,2,7,1,6,0,5,4
16524,4,3,7,3,5,5,12,3,2,2
7607,4,3,2,6,8,8,9,0,5,6
25805,1,1,5,5,5,3,15,2,4,2
19705,4,1,5,2,4,3,13,2,2,1
22842,3,1,2,1,7,7,14,1,6,6
18158,3,1,5,5,6,2,13,1,3,3
19054,3,2,7,7,2,6,13,1,4,5
11711,4,1,3,7,1,4,11,0,3,3
23875,3,2,4,7,5,4,14,3,2,3
14262,3,2,1,8,8,7,12,0,5,7
15898,4,2,7,7,1,7,12,0,5,6
2484,4,3,5,7,6,6,-1,2,3,1
10694,2,2,3,1,8,2,11,0,6,5
3369,4,3,2,2,5,1,4,0,2,3
12555,4,3,4,2,8,7,11,0,4,5
1671,4,1,2,3,3,3,-1,2,2,1
20427,4,2,5,3,3,5,13,2,3,2
3501,4,1,5,1,1,1,5,0,3,4
12023,4,2,4,1,8,5,11,0,4,4
12563,4,3,4,4,5,7,11,1,4,3
8481,2,1,3,8,1,5,10,0,4,3
27345,4,1,2,3,4,4,15,3,3,2
12354,4,3,1,4,7,4,11,1,3,6
26822,2,2,8,6,6,6,15,2,4,2
27532,4,1,6,2,4,5,15,3,4,3
21315,2,1,1,1,8,5,14,0,6,7
3907,2,1,4,2,7,1,6,0,5,3
19102,3,2,8,2,4,7,13,1,5,5
6456,4,4,6,4,6,1,8,0,3,3
3125,4,3,4,7,4,1,2,0,2,6
17808,2,2,8,4,8,7,13,0,6,3
9118,3,3,2,3,6,2,10,1,3,4
3360,4,2,8,6,1,1,4,0,3,7
2562,4,3,7,4,6,3,-1,2,2,1
15659,4,2,4,1,5,6,12,2,4,5
13188,1,1,2,6,8,7,12,0,7,6
19029,3,2,7,4,7,6,13,1,4,2
6807,2,2,3,6,7,1,9,0,5,5
10442,2,1,1,2,1,7,11,0,6,5
5251,2,2,3,3,6,1,8,0,4,3
2611,4,3,8,3,8,4,-1,0,4,1
16030,4,3,1,3,4,6,12,2,3,3
22266,2,2,2,3,7,4,14,1,5,5
10679,2,2,2,4,4,2,11,1,2,2
12362,4,3,1,5,2,7,11,1,4,2
16179,4,3,2,6,6,5,12,2,2,4
9035,3,2,7,8,1,3,10,0,2,6
12258,4,2,8,1,1,7,11,0,5,7
2729,4,4,7,3,7,4,-1,1,3,1
16792,1,1,2,8,6,2,13,1,5,6
21209,1,1,7,5,5,1,14,0,4,4
17311,2,1,5,6,8,7,13,0,6,3
9878,4,3,5,4,8,7,10,0,4,3
28040,2,1,6,7,6,5,16,2,4,2
5442,3,2,2,4,7,2,8,1,4,5
6935,3,1,3,3,1,8,9,0,7,5
25253,4,2,1,1,4,5,14,3,3,4
2694,4,4,6,3,7,2,-1,1,3,1
12252,4,2,7,7,1,4,11,0,3,6
9986,4,3,7,2,1,5,10,0,3,6
27848,1,1,7,3,6,5,16,2,5,2
22096,2,1,8,4,2,7,14,1,6,6
13917,3,1,4,3,3,6,12,2,5,3
13777,2,2,8,1,8,6,12,0,6,5
15029,3,3,5,7,7,5,12,1,4,2
4430,4,3,8,4,8,1,6,0,4,3
12424,4,3,2,3,8,5,11,0,4,6
11183,3,2,4,8,2,4,11,1,2,4
14796,3,3,1,3,7,5,12,1,4,6
22394,2,2,4,6,5,2,14,1,3,4
13822,3,1,1,4,3,3,12,2,2,2
9957,4,3,6,6,2,8,10,0,5,4
12259,4,2,8,1,6,2,11,1,2,2
16308,4,3,4,1,4,7,12,1,4,6
6455,4,4,6,4,5,1,8,0,3,3
11704,4,1,3,6,1,6,11,0,5,2
12249,4,2,7,6,1,8,11,0,6,6
5441,3,2,2,4,7,1,8,0,4,5
13093,4,4,7,2,5,2,11,1,2,2
20903,4,3,3,7,6,7,13,1,4,3
1672,4,1,2,3,3,4,-1,2,3,1
7145,3,2,6,3,1,3,9,0,2,5
27098,3,1,6,1,4,6,15,2,5,5
7935,4,4,1,5,5,1,9,0,3,4
21156,1,1,5,7,7,3,14,1,6,4
17632,2,2,2,8,8,7,13,0,6,6
22142,2,1,8,5,6,6,14,2,5,2
2882,3,3,1,8,2,1,1,0,2,7
12203,4,2,6,2,1,4,11,0,3,5
8930,3,2,4,3,3,4,10,2,2,1
22124,2,1,8,5,2,3,14,1,2,6
1088,3,1,8,1,7,2,-1,1,4,1
11444,3,3,3,2,8,7,11,0,5,5
14839,3,3,2,1,7,4,12,1,4,5
19450,3,3,8,8,6,5,13,2,3,3
19779,4,1,5,6,8,4,13,0,4,3
2792,4,4,8,7,8,6,-1,0,4,1
26644,2,1,8,6,5,4,15,3,3,3
20270,4,2,3,2,5,7,13,1,5,5
15106,3,3,8,7,7,3,12,1,4,4
23353,3,1,7,1,7,7,14,1,6,6
9412,4,1,8,7,8,1,10,0,4,6
9385,4,1,7,4,1,8,10,0,7,6
17981,3,1,3,6,3,8,13,0,7,2
5276,3,1,1,4,7,2,8,1,4,6
27815,1,1,6,7,4,3,16,2,3,4
21930,2,1,6,8,3,8,14,0,7,3
2401,4,3,2,8,2,7,-1,1,4,1
14271,3,2,2,2,7,3,12,1,4,5
8274,4,4,7,4,6,2,9,1,2,2
21712,2,1,4,5,7,6,14,1,5,3
24517,4,1,3,2,7,7,14,1,6,5
4225,4,2,5,8,7,1,6,0,3,7
21446,2,1,1,8,4,6,14,2,5,3
17693,2,2,4,4,8,8,13,0,6,4
10564,2,1,4,8,3,3,11,2,2,5
4940,4,3,5,6,5,1,7,0,2,5
25381,4,2,4,6,6,5,14,2,3,2
20176,4,2,2,4,4,5,13,3,3,2
26904,3,1,2,7,5,6,15,2,5,3
22206,2,2,1,3,5,3,14,2,3,4
24297,4,1,1,7,8,7,14,0,6,7
3219,4,3,6,2,3,1,3,0,2,3
25339,4,2,3,6,7,4,14,1,3,4
23179,3,1,5,5,2,7,14,1,6,3
14665,3,2,7,5,1,5,12,0,3,6
3607,4,2,4,7,2,2,5,1,2,5
10761,2,2,6,1,8,4,11,0,6,3
25351,4,2,3,7,6,5,14,2,3,3
1533,3,3,6,6,7,5,-1,1,4,1
12360,4,3,1,4,8,5,11,0,4,7
12459,4,3,2,6,3,8,11,0,5,2
5168,4,4,8,6,1,1,7,0,3,7
25349,4,2,3,7,5,7,14,1,5,2
7796,4,3,6,1,8,8,9,0,5,7
21689,2,1,4,3,4,8,14,0,7,5
24062,3,2,8,3,6,5,14,2,3,2
19658,4,1,4,7,2,2,13,1,2,5
16665,4,3,8,6,8,4,12,0,4,2
5320,3,1,3,3,5,1,8,0,2,2
23181,3,1,5,5,3,3,14,2,2,2
22502,2,2,7,1,6,6,14,2,4,5
8554,2,1,8,4,4,1,10,0,2,4
9402,4,1,8,5,1,3,10,0,3,7
11720,4,1,3,7,6,8,11,0,7,3
5421,3,2,1,7,5,1,8,0,2,6
7111,3,2,4,7,6,1,9,0,3,6
15230,4,1,4,2,2,2,12,1,2,2
21891,2,1,6,4,2,4,14,1,3,4
20351,4,2,3,8,5,4,13,3,2,4
27897,1,1,8,2,6,5,16,2,5,3
6333,4,4,3,6,8,2,8,0,4,5
22071,2,1,8,2,6,7,14,1,6,5
22529,2,2,7,5,7,7,14,1,5,2
1263,3,2,5,2,6,2,-1,1,3,1
9573,4,2,6,1,1,3,10,0,3,5
27447,4,1,3,7,5,3,15,2,2,4
9640,4,2,6,7,8,3,10,0,4,4
23228,3,1,5,7,5,4,14,3,3,3
16529,4,3,7,3,6,6,12,2,3,3
23454,3,1,7,8,2,7,14,1,6,5
25343,4,2,3,7,3,5,14,2,3,2
27452,4,1,3,7,6,3,15,2,2,4
22472,2,2,6,1,5,4,14,3,3,3
22332,2,2,3,6,7,5,14,1,5,4
27244,3,1,7,6,4,6,15,2,5,3
4196,4,2,4,5,7,1,6,0,3,4
27450,4,1,3,7,5,6,15,2,5,2
25386,4,2,4,7,6,3,14,2,2,4
17559,2,2,1,3,8,3,13,0,6,7
27760,1,1,4,2,4,4,16,3,3,2
24123,4,1,1,1,3,7,14,1,6,6
17104,2,1,3,6,6,8,13,0,7,3
3253,4,1,6,3,1,2,4,0,3,5
19138,3,2,8,4,3,6,13,2,4,5
25128,4,1,8,3,6,8,14,0,7,5
8091,4,4,3,8,8,4,9,0,4,5
18143,3,1,5,4,1,4,13,0,3,4
16389,4,3,6,1,5,8,12,0,5,7
17621,2,2,2,6,8,6,13,0,6,6
14022,3,1,5,6,1,2,12,0,2,4
6475,4,4,6,6,3,1,8,0,3,5
22909,3,1,2,4,8,4,14,0,5,6
22671,3,1,1,2,7,7,14,1,6,6
16435,4,3,6,4,4,5,12,3,2,2
23396,3,1,7,4,2,5,14,1,4,5
14126,3,1,8,1,8,3,12,0,5,2
24490,4,1,3,1,7,3,14,1,3,4
5748,4,1,5,4,6,1,8,0,2,3
13722,2,2,6,5,7,3,12,1,5,2
27333,4,1,2,1,6,6,15,2,5,5
15916,4,2,8,2,6,2,12,1,2,2
12858,4,3,8,5,6,6,11,2,3,2
11108,3,2,2,4,2,7,11,1,5,3
15155,4,1,1,6,5,7,12,1,6,4
13004,4,4,3,4,7,5,11,1,3,4
6027,4,3,3,1,6,1,8,0,2,3
1383,3,2,7,3,8,2,-1,0,5,1
18592,3,2,2,4,2,6,13,1,4,2
2536,4,3,6,8,5,7,-1,1,4,1
11210,3,2,5,3,3,8,11,0,6,5
9960,4,3,6,7,7,3,10,1,3,4
23415,3,1,7,5,3,5,14,2,4,4
19423,3,3,8,3,6,5,13,2,3,2
22568,2,2,8,2,8,4,14,0,6,2
4651,3,2,5,3,8,2,7,0,5,3
8920,3,2,4,2,2,6,10,1,4,4
9205,3,3,5,5,6,3,10,2,3,2
23590,3,1,8,4,6,6,14,2,5,2
1641,4,1,1,5,2,4,-1,1,3,1
13224,1,1,5,6,8,1,12,0,7,5
19865,4,1,7,6,2,7,13,1,6,5
5483,3,2,3,4,2,7,8,1,5,3
7030,3,2,2,8,8,2,9,0,5,6
9744,4,3,2,4,8,7,10,0,4,6
12417,4,3,2,2,8,5,11,0,4,6
14584,3,2,5,8,7,8,12,0,6,2
7571,4,3,1,6,6,3,9,2,2,5
4266,4,3,2,1,2,3,6,1,2,2
16922,1,1,6,7,7,5,13,1,6,2
86,1,1,6,2,7,3,-1,1,6,1
10705,2,2,3,6,8,2,11,0,6,5
19723,4,1,5,3,1,3,13,0,3,4
14852,3,3,2,2,8,5,12,0,5,6
21038,1,1,3,3,8,8,14,0,7,5
